"CNY","EUR","JPY","GBP","CAD","AUD","G_USD"
8.2793,1.182,111.85,1.6588,1.526,0.6205,287.7
8.2795,1.1778,110.98,1.6533,1.5145,0.622,286.95
8.2795,1.1594,112.94,1.654,1.5112,0.6295,288.3
8.2798,1.1713,111.33,1.6498,1.5123,0.6365,291.35
8.2796,1.1601,110.75,1.6415,1.512,0.6343,291.35
8.2797,1.1487,109.07,1.6304,1.5057,0.6399,292.9
8.2795,1.155,112.65,1.6335,1.5125,0.638,288.55
8.2794,1.1649,113.33,1.6495,1.5198,0.6333,286.75
8.279,1.1706,113.56,1.6558,1.5335,0.6311,286.55
8.279,1.1574,114.15,1.6503,1.5242,0.6338,287.05
8.2787,1.1606,113.57,1.6566,1.5302,0.6375,286.85
8.2791,1.1552,113.04,1.6467,1.5215,0.6385,287.35
8.2789,1.1598,113.82,1.652,1.5182,0.6434,287.65
8.2787,1.1586,114.6,1.6549,1.518,0.6315,286.45
8.2784,1.1553,113.71,1.6585,1.5175,0.6305,287.85
8.278,1.156,113.84,1.6592,1.5194,0.6285,286.15
8.2778,1.1421,115.7,1.6481,1.52,0.6285,283
8.2778,1.1415,116.27,1.6488,1.518,0.6266,284.25
8.2778,1.1365,116.33,1.6456,1.5103,0.6297,286.15
8.2775,1.1313,114.93,1.6434,1.5095,0.6363,288.85
8.2775,1.1348,111.97,1.6391,1.5142,0.6378,288.45
8.2776,1.1319,112.13,1.6358,1.5131,0.6411,287.55
8.2776,1.1332,112.1,1.6437,1.4923,0.6486,289.45
8.2776,1.1263,113.13,1.6332,1.4897,0.6502,288.55
8.2775,1.1322,114.5,1.6381,1.4912,0.6505,289.15
8.2773,1.1292,114.05,1.6372,1.4955,0.6452,287.4
8.2792,1.0884,119.68,1.6085,1.5225,0.619,286.4
8.2789,1.0916,120.04,1.6162,1.5203,0.6214,286.75
8.2789,1.0893,121.82,1.6128,1.5259,0.6224,286.55
8.2783,1.0815,123.44,1.6095,1.5238,0.6242,288.15
8.2784,1.082,122.7,1.6049,1.5191,0.6271,288.45
8.2786,1.0885,121.76,1.6095,1.5147,0.6315,291.6
8.2791,1.0888,121.1,1.6167,1.5172,0.6355,291.85
8.2788,1.095,119.8,1.626,1.5224,0.6361,292.75
8.2789,1.1028,119.2,1.6358,1.5242,0.6375,294.45
8.2789,1.09,119.69,1.6348,1.5234,0.6362,292.35
8.2789,1.093,117.79,1.6252,1.5262,0.6285,286.9
8.2789,1.1,117.36,1.6303,1.5272,0.6273,283.45
8.2788,1.0999,118.28,1.6304,1.5212,0.6276,283.95
8.2788,1.0971,117.55,1.6288,1.5172,0.6284,282.95
8.2793,1.0889,116.96,1.6295,1.5157,0.6296,284.25
8.2792,1.0915,118.26,1.6284,1.503,0.6354,284.65
8.2795,1.0905,118.01,1.6294,1.5064,0.64,284.55
8.2796,1.0888,118.13,1.634,1.5076,0.6387,283.8
8.2798,1.0837,118.1,1.623,1.5081,0.6374,283.3
8.28,1.0765,120.32,1.623,1.5142,0.6326,279.75
8.2797,1.0736,120.26,1.6155,1.5138,0.6312,280.35
8.28,1.0719,120.39,1.6126,1.5112,0.6261,279.25
8.28,1.0758,118.8,1.6121,1.508,0.6348,280.05
8.2796,1.0782,120.67,1.603,1.4985,0.635,280.45
8.2795,1.0716,121.65,1.6005,1.5022,0.6309,278.45
8.2797,1.0835,120.72,1.5929,1.5014,0.6297,279.95
8.2797,1.0771,121.41,1.5955,1.4988,0.6272,280.55
8.2799,1.0738,121.15,1.6053,1.4999,0.6251,280.65
8.2797,1.0798,120.89,1.6074,1.4988,0.6313,281.55
8.2797,1.082,120.38,1.6121,1.4938,0.6421,282.85
8.2797,1.0765,119.82,1.6161,1.4905,0.6358,283.35
8.2794,1.0796,118.8,1.6115,1.4938,0.6356,281.45
8.2789,1.07,119.16,1.609,1.4888,0.6435,284
8.2787,1.0709,117.75,1.6133,1.4797,0.6473,284.25
8.2787,1.0628,117.57,1.6106,1.4855,0.6508,284.85
8.2783,1.0625,118.87,1.6094,1.4903,0.6477,284.45
8.2783,1.0617,119.73,1.6061,1.4863,0.6467,283.85
8.2783,1.0608,119.63,1.6158,1.4812,0.6516,283.55
8.2784,1.0607,119.36,1.6156,1.4762,0.652,283.55
8.2793,1.0584,119.42,1.611,1.4755,0.6496,281.25
8.2794,1.0662,120.18,1.6166,1.4794,0.6505,282
8.2791,1.0618,119.08,1.6134,1.4777,0.6542,282.95
8.2794,1.0594,119.25,1.6097,1.4665,0.6592,286.05
8.279,1.0581,119.41,1.6088,1.4582,0.6615,286.55
8.2789,1.0629,120.8,1.6275,1.4525,0.6604,285.5
8.2789,1.074,120.37,1.6355,1.4506,0.6636,287.25
8.2786,1.0812,120.47,1.638,1.454,0.6702,289.55
8.2783,1.0743,120.8,1.6296,1.457,0.674,282.75
8.2787,1.0795,120.53,1.6255,1.4596,0.6662,278.75
8.2782,1.0712,120.94,1.6225,1.4533,0.6685,278.25
8.2783,1.0645,120.93,1.6175,1.4602,0.666,277.35
8.2778,1.0658,121.73,1.6208,1.4582,0.6672,277.75
8.2784,1.0648,122.83,1.6191,1.4646,0.6643,275.95
8.2785,1.0664,123.4,1.6174,1.4583,0.6652,274.5
8.279,1.0682,123.25,1.6223,1.4635,0.6703,273.95
8.2783,1.0656,124.28,1.6193,1.4669,0.6605,272.95
8.278,1.0625,124.35,1.6071,1.4656,0.661,274.45
8.278,1.0575,123.92,1.6013,1.4604,0.6576,272.95
8.2785,1.0589,123.14,1.5975,1.4541,0.6594,272.65
8.2789,1.0592,122.34,1.605,1.4657,0.6511,270.55
8.279,1.0463,122.32,1.594,1.4717,0.6488,269.25
8.2788,1.044,120.34,1.5976,1.4765,0.648,270.5
8.2786,1.0407,121.44,1.6012,1.4742,0.6528,270.45
8.2781,1.045,120.63,1.6101,1.484,0.644,267.65
8.2787,1.0347,121.62,1.6033,1.4802,0.6438,265.4
8.2784,1.0324,121.7,1.605,1.4757,0.649,266.05
8.2781,1.0371,122.27,1.6111,1.4709,0.6586,264.8
8.2781,1.0289,120.65,1.6,1.468,0.6595,265.55
8.2779,1.0457,119.33,1.605,1.4712,0.658,262.15
8.2778,1.0465,119.32,1.6017,1.4727,0.6584,259.35
8.2777,1.0479,118.81,1.604,1.4621,0.6618,258.45
8.2777,1.0541,117.91,1.6167,1.4613,0.6647,260.65
8.2776,1.0418,120.51,1.6069,1.46,0.6634,260.65
8.2781,1.042,120.47,1.5945,1.4618,0.6577,259.15
8.2776,1.0316,120.34,1.5883,1.4598,0.6563,258.5
8.2775,1.0341,119.57,1.5931,1.4635,0.6572,258.45
8.2774,1.0386,120.41,1.5967,1.4638,0.6518,259.55
8.2778,1.0344,122.29,1.5915,1.4711,0.6496,258.85
8.2781,1.0318,121.81,1.5912,1.4706,0.6535,258.55
8.2784,1.0319,121.82,1.5803,1.4712,0.6578,260.65
8.2779,1.0403,121.85,1.5867,1.472,0.6589,260.75
8.2775,1.0427,121.37,1.5872,1.4648,0.6616,260.25
8.278,1.0358,121.47,1.5816,1.4683,0.6578,260.75
8.2786,1.0333,121.05,1.573,1.4775,0.6565,260.75
8.2787,1.034,120.88,1.5786,1.4653,0.6655,262.5
8.2786,1.0231,120.84,1.573,1.4713,0.6678,263.4
8.2785,1.0236,120.97,1.5787,1.4642,0.6685,263.5
8.2782,1.0234,122.03,1.5628,1.4704,0.6637,256.85
8.2783,1.0225,122.34,1.5568,1.469,0.6686,257.15
8.2781,1.021,122.55,1.5585,1.4715,0.6655,256.5
8.2777,1.0171,122.22,1.5483,1.4731,0.6654,256.95
8.2776,1.0154,122.11,1.5565,1.4783,0.662,255.65
8.2775,1.0169,121.38,1.5585,1.4815,0.6584,255.85
8.2778,1.0213,120.75,1.5631,1.4808,0.6576,254.05
8.2775,1.0202,120.95,1.5645,1.4821,0.6608,254.1
