Date,USDCNY,EURUSD,USDJPY,GBPUSD,USDCAD,AUDUSD
1999/1/4,8.2793,1.182,111.85,1.6588,1.526,0.6205
1999/1/5,8.2795,1.1778,110.98,1.6533,1.5145,0.622
1999/1/6,8.2795,1.1594,112.94,1.654,1.5112,0.6295
1999/1/7,8.2798,1.1713,111.33,1.6498,1.5123,0.6365
1999/1/8,8.2796,1.1601,110.75,1.6415,1.512,0.6343
1999/1/11,8.2797,1.1487,109.07,1.6304,1.5057,0.6399
1999/1/12,8.2795,1.155,112.65,1.6335,1.5125,0.638
1999/1/13,8.2794,1.1649,113.33,1.6495,1.5198,0.6333
1999/1/14,8.279,1.1706,113.56,1.6558,1.5335,0.6311
1999/1/15,8.279,1.1574,114.15,1.6503,1.5242,0.6338
1999/1/19,8.2787,1.1606,113.57,1.6566,1.5302,0.6375
1999/1/20,8.2791,1.1552,113.04,1.6467,1.5215,0.6385
1999/1/21,8.2789,1.1598,113.82,1.652,1.5182,0.6434
1999/1/22,8.2787,1.1586,114.6,1.6549,1.518,0.6315
1999/1/25,8.2784,1.1553,113.71,1.6585,1.5175,0.6305
1999/1/26,8.278,1.156,113.84,1.6592,1.5194,0.6285
1999/1/27,8.2778,1.1421,115.7,1.6481,1.52,0.6285
1999/1/28,8.2778,1.1415,116.27,1.6488,1.518,0.6266
1999/1/29,8.2778,1.1365,116.33,1.6456,1.5103,0.6297
1999/2/1,8.2775,1.1313,114.93,1.6434,1.5095,0.6363
1999/2/2,8.2775,1.1348,111.97,1.6391,1.5142,0.6378
1999/2/3,8.2776,1.1319,112.13,1.6358,1.5131,0.6411
1999/2/4,8.2776,1.1332,112.1,1.6437,1.4923,0.6486
1999/2/5,8.2776,1.1263,113.13,1.6332,1.4897,0.6502
1999/2/8,8.2775,1.1322,114.5,1.6381,1.4912,0.6505
1999/2/9,8.2773,1.1292,114.05,1.6372,1.4955,0.6452
1999/2/10,8.2778,1.1344,114.25,1.6265,1.4885,0.6457
1999/2/11,8.2779,1.1235,114.65,1.623,1.4927,0.6469
1999/2/12,8.2785,1.1283,114.25,1.635,1.4915,0.6455
1999/2/16,8.2787,1.1201,118.65,1.6342,1.495,0.636
1999/2/17,8.2787,1.1236,118.78,1.6345,1.4947,0.6337
1999/2/18,8.2787,1.1195,119.5,1.635,1.4865,0.6345
1999/2/19,8.2787,1.1066,121.26,1.6235,1.488,0.6403
1999/2/22,8.2787,1.1033,121.25,1.625,1.4952,0.6398
1999/2/23,8.2787,1.1002,120.82,1.614,1.4962,0.6408
1999/2/24,8.2787,1.0989,121.41,1.5974,1.4959,0.6319
1999/2/25,8.2789,1.1041,119.78,1.6017,1.509,0.625
1999/2/26,8.279,1.1023,119.2,1.6013,1.5104,0.6178
1999/3/1,8.2792,1.0884,119.68,1.6085,1.5225,0.619
1999/3/2,8.2789,1.0916,120.04,1.6162,1.5203,0.6214
1999/3/3,8.2789,1.0893,121.82,1.6128,1.5259,0.6224
1999/3/4,8.2783,1.0815,123.44,1.6095,1.5238,0.6242
1999/3/5,8.2784,1.082,122.7,1.6049,1.5191,0.6271
1999/3/8,8.2786,1.0885,121.76,1.6095,1.5147,0.6315
1999/3/9,8.2791,1.0888,121.1,1.6167,1.5172,0.6355
1999/3/10,8.2788,1.095,119.8,1.626,1.5224,0.6361
1999/3/11,8.2789,1.1028,119.2,1.6358,1.5242,0.6375
1999/3/12,8.2789,1.09,119.69,1.6348,1.5234,0.6362
1999/3/15,8.2789,1.093,117.79,1.6252,1.5262,0.6285
1999/3/16,8.2789,1.1,117.36,1.6303,1.5272,0.6273
1999/3/17,8.2788,1.0999,118.28,1.6304,1.5212,0.6276
1999/3/18,8.2788,1.0971,117.55,1.6288,1.5172,0.6284
1999/3/19,8.2793,1.0889,116.96,1.6295,1.5157,0.6296
1999/3/22,8.2792,1.0915,118.26,1.6284,1.503,0.6354
1999/3/23,8.2795,1.0905,118.01,1.6294,1.5064,0.64
1999/3/24,8.2796,1.0888,118.13,1.634,1.5076,0.6387
1999/3/25,8.2798,1.0837,118.1,1.623,1.5081,0.6374
1999/3/26,8.28,1.0765,120.32,1.623,1.5142,0.6326
1999/3/29,8.2797,1.0736,120.26,1.6155,1.5138,0.6312
1999/3/30,8.28,1.0719,120.39,1.6126,1.5112,0.6261
1999/3/31,8.28,1.0758,118.8,1.6121,1.508,0.6348
1999/4/1,8.2796,1.0782,120.67,1.603,1.4985,0.635
1999/4/5,8.2795,1.0716,121.65,1.6005,1.5022,0.6309
1999/4/6,8.2797,1.0835,120.72,1.5929,1.5014,0.6297
1999/4/7,8.2797,1.0771,121.41,1.5955,1.4988,0.6272
1999/4/8,8.2799,1.0738,121.15,1.6053,1.4999,0.6251
1999/4/9,8.2797,1.0798,120.89,1.6074,1.4988,0.6313
1999/4/12,8.2797,1.082,120.38,1.6121,1.4938,0.6421
1999/4/13,8.2797,1.0765,119.82,1.6161,1.4905,0.6358
1999/4/14,8.2794,1.0796,118.8,1.6115,1.4938,0.6356
1999/4/15,8.2789,1.07,119.16,1.609,1.4888,0.6435
1999/4/16,8.2787,1.0709,117.75,1.6133,1.4797,0.6473
1999/4/19,8.2787,1.0628,117.57,1.6106,1.4855,0.6508
1999/4/20,8.2783,1.0625,118.87,1.6094,1.4903,0.6477
1999/4/21,8.2783,1.0617,119.73,1.6061,1.4863,0.6467
1999/4/22,8.2783,1.0608,119.63,1.6158,1.4812,0.6516
1999/4/23,8.2784,1.0607,119.36,1.6156,1.4762,0.652
1999/4/26,8.2793,1.0584,119.42,1.611,1.4755,0.6496
1999/4/27,8.2794,1.0662,120.18,1.6166,1.4794,0.6505
1999/4/28,8.2791,1.0618,119.08,1.6134,1.4777,0.6542
1999/4/29,8.2794,1.0594,119.25,1.6097,1.4665,0.6592
1999/4/30,8.279,1.0581,119.41,1.6088,1.4582,0.6615
1999/5/3,8.279,1.0569,120.25,1.6086,1.447,0.6643
1999/5/4,8.2789,1.0629,120.8,1.6275,1.4525,0.6604
1999/5/5,8.2789,1.074,120.37,1.6355,1.4506,0.6636
1999/5/6,8.2786,1.0812,120.47,1.638,1.454,0.6702
1999/5/7,8.2783,1.0743,120.8,1.6296,1.457,0.674
1999/5/10,8.2787,1.0795,120.53,1.6255,1.4596,0.6662
